env_group,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,cpu_private_csr,19,oversubscription_region,132.4008473,4.104581403,0.2160306001,PASS,,,14,14,Apple M4 Max,,,,4180334400.0,1.298761896e-16
default,cpu_row_owner,19,oversubscription_region,147.1649727,3.692794867,0.1943576246,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,19,oversubscription_region,158.3570417,3.431802274,0.1806211723,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,20,oversubscription_region,129.703764,4.189932805,0.2094966402,PASS,,,14,14,Apple M4 Max,,,,0.0,1.497557561e-16
default,cpu_private_csr,20,oversubscription_region,132.7804163,4.092847957,0.2046423978,PASS,,,14,14,Apple M4 Max,,,,4400352000.0,1.297256416e-16
default,cpu_row_owner,20,oversubscription_region,147.3370137,3.688482901,0.1844241451,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,20,oversubscription_region,146.990722,3.697172504,0.1848586252,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,21,oversubscription_region,130.0999167,4.17717451,0.1989130719,PASS,,,14,14,Apple M4 Max,,,,0.0,1.486338702e-16
default,cpu_private_csr,21,oversubscription_region,146.1743473,3.717820983,0.1770390944,PASS,,,14,14,Apple M4 Max,,,,4620369600.0,1.31761096e-16
default,cpu_row_owner,21,oversubscription_region,170.3671667,3.189875528,0.1518988347,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,21,oversubscription_region,169.7122643,3.202184932,0.1524849968,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
